"Web ID","Region","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"53926","Caribbean","July 22, 2020","2020","Jul","","12","12","1","","","","Presumed drowning","Mona passage, Puerto Rico, USA","US Coast Guard","18.343802741192, -67.859788215625","","https://archive.vn/QQ0Kr","Caribbean","5"
"53919","Mediterranean","July 22, 2020","2020","Jul","","6","6","8","","","","Presumed drowning","Gibraltar Strait, between Tangiers, Morocco, and Algeciras, Cádiz, Spain","Caminando Fronteras","35.998239800000, -5.687873600000","Western Mediterranean","https://archive.ph/wqD8P, https://archive.ph/kt28g","Uncategorized","4"
"53918","Mediterranean","July 21, 2020","2020","Jul","1","","1","","","","","Presumed drowning","Body spotted floating at sea by Sea-Watch's Moonbird in position 33º25N 015º15E","Sea-Watch","33.368527742572, 15.367405414581","Central Mediterranean","https://archive.vn/FD0qu","Uncategorized","4"
"54035","US-Mexico Border","July 21, 2020","2020","Jul","1","","1","","","1","","Hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.890798000000, -111.553213900000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54034","US-Mexico Border","July 21, 2020","2020","Jul","1","","1","","","1","","Hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.993970600000, -111.986816700000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54033","US-Mexico Border","July 21, 2020","2020","Jul","1","","1","","","","","Unknown (mummified and skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.910342800000, -111.712032900000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54032","US-Mexico Border","July 21, 2020","2020","Jul","1","","1","","","1","","Unknown (mummified and decomposed remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.378343900000, -111.491549300000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"53925","US-Mexico Border","July 21, 2020","2020","Jul","5","","5","","","","","Unknown","Unspecified location close to Laredo, Webb County, Texas, USA","El mañana","27.503561300000, -99.507551900000","","https://archive.ph/jYT0s","Northern America","1"
"54031","US-Mexico Border","July 20, 2020","2020","Jul","1","","1","","","1","","Probable hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.544590800000, -111.932355800000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"53924","Mediterranean","July 20, 2020","2020","Jul","","2","2","","","2","","Presumed drowning","Unspecified location in the Gibraltar Strait, off the coast of Tanger, Morocco","Caminando Fronteras, Xibaaru.sn","35.825187212638, -5.794128860547","Western Mediterranean","https://archive.vn/465y7, https://archive.vn/wPJZR, https://archive.ph/mBbqp","Uncategorized","4"
"53917","US-Mexico Border","July 20, 2020","2020","Jul","1","","1","","","","","Presumed drowning","Rio Bravo, in the vecinity of Bowie High School, El Paso, Texas, USA","Debbie Nathan (independent journalist)","31.763285498978, -106.457637739150","","https://archive.vn/9ycYb","Northern America","1"
"54030","US-Mexico Border","July 20, 2020","2020","Jul","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.688290300000, -111.994218900000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54029","US-Mexico Border","July 20, 2020","2020","Jul","1","","1","","","1","","Unknown (mummified remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","41.626431800000, 22.442500800000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54602","US-Mexico Border","July 20, 2020","2020","Jul","1","","1","","","1","","Hypothermia","Ave B/Juan Sanchez Blvd, San Luis, Yuma County, Arizona, USA","Yuma County Medical Examiner","32.494734500000, -114.622678500000","","","Northern America","5"
"54028","US-Mexico Border","July 20, 2020","2020","Jul","1","","1","","","1","","Unknown (mummified and skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.057499000000, -111.666072500000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"53923","Europe","July 19, 2020","2020","Jul","1","","1","","","1","","Unknown","On the shore of the Lake Bileća in Miruše, Bileća Municipality, Bosnia and Herzegovina","Nezavisne, Klix","42.825215600000, 18.439474000000","Western Balkans","https://archive.ph/zPbsx, https://archive.vn/TtvoZ","Southern Europe","3"
"53910","Mediterranean","July 19, 2020","2020","Jul","","2","2","88","","2","","Presumed drowning","Unspecified location off the coast of Libya - survivors disembarked at Al Khums, Libya","IOM Libya","33.282335972307, 14.319168319491","Central Mediterranean","","Uncategorized","4"
"54601","US-Mexico Border","July 19, 2020","2020","Jul","2","","2","","","2","","Hypothermia","Barry Goldwater Range, Yuma County, Arizona, USA","Yuma County Medical Examiner","32.057499000000, -111.666072500000","","","Northern America","5"
"53937","US-Mexico Border","July 19, 2020","2020","Jul","1","","1","","","1","","Presumed drowning","Río Bravo in Miguel Alemán, Tamaulipas, Mexico","VMC Agencia Informativa","26.407691677633, -99.024691929053","","https://archive.vn/Fm9uo","Central America","1"
"54257","South America","July 18, 2020","2020","Jul","1","","1","","","1","","Illness (Tuberculosis)","Manuel Diaz Rodriguez Highschool, Municipality of Bolivar, San Antonio del Tachira, Venezuela.","La Opinión","7.817814100000, -72.442581900000","","https://archive.ph/0avFT","South America","1"
"54256","South America","July 18, 2020","2020","Jul","1","","1","","","1","","Heart attack","Manuel Diaz Rodriguez Highschool, Municipality of Bolivar, San Antonio del Tachira, Venezuela.","La Opinión","7.820796100000, -72.445525700000","","https://archive.ph/0avFT","South America","1"
"54746","US-Mexico Border","July 18, 2020","2020","Jul","1","","1","","","","","Presumed drowning","Rio Bravo in Coahuila, Mexico","Instituto Nacional de Migración (Grupos Beta)","28.654865062780, -100.516212241410","","","Central America","5"
"53950","North Africa","July 18, 2020","2020","Jul","","63","63","","20","","1","Presumed drowning","Left from Tarfaya, Morocco with the Canary Islands as presumed destination, disappeared without a trace","Alarm Phone, Caminando Fronteras, Spanish Refugee Commission","27.988482516115, -12.957184147852","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/kLsWx, https://archive.vn/IKCqI, https://archive.vn/nqtDx, https://archive.vn/0RBj4","Uncategorized","4"
"53909","US-Mexico Border","July 17, 2020","2020","Jul","1","","1","","","1","","Presumed drowning","Río Bravo, 12 miles north of El Paso, Maverick County, Texas, USA","La Rancherita del Aire","31.777485075401, -106.524524570500","","https://archive.vn/SK15P","Northern America","1"
"54047","Horn of Africa","July 17, 2020","2020","Jul","2","","2","","","2","","Dehydration","Djiboutian desert around Oulma, Obock region, Republic of Djibouti","IOM Djibouti medical team and local authorities","12.142430800000, 43.377416500000","Horn of Africa to Yemen","","Eastern Africa","5"
"54025","US-Mexico Border","July 16, 2020","2020","Jul","1","","1","","","","","Unknown (decomposed remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.057701900000, -112.143021500000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54700","US-Mexico Border","July 16, 2020","2020","Jul","1","","1","","","1","","Presumed drowning","100 Doffin, San Juan, Hidalgo County, Texas, USA","Hidalgo County Sheriff's Office","26.085711600000, -98.171033800000","","","Northern America","5"
"53908","US-Mexico Border","July 16, 2020","2020","Jul","1","","1","","","1","","Presumed drowning","Río Bravo, near Rancho El Porvernir, Ejido Los Corrales, Reynosa, Tamaulipas, Mexico","El Mañana","26.075277821144, -98.218528651361","","https://archive.vn/SW2PE","Central America","1"
"54027","US-Mexico Border","July 16, 2020","2020","Jul","1","","1","","","1","","Hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.398098900000, -110.075330400000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"53907","US-Mexico Border","July 16, 2020","2020","Jul","1","","1","","","1","","Presumed exposure","Died in hospital after being found on 6 July in a remote ranch near Laredo, Webb County, Texas, USA","US Border Patrol, El Mañana","27.533453274286, -99.333601718657","","https://archive.ph/mt3Gw, https://archive.vn/j50AM","Northern America","5"
"54026","US-Mexico Border","July 16, 2020","2020","Jul","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.039629500000, -112.711372100000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"53916","Mediterranean","July 15, 2020","2020","Jul","1","","1","72","","","","Presumed drowning","Off the coast of Mahdia, Tunisia","Réalités","35.518655224434, 11.110265677734","Central Mediterranean","https://archive.ph/B83ej","Uncategorized","1"
"53915","Sub-Saharan Africa","July 15, 2020","2020","Jul","1","","1","","","","","Drowning","Passe de Morne Rouge, off the coast of Mayotte, France","IOM Madagascar, Regional Maritime Information Fusion Centre","-12.829508518478, 45.071486919922","","","Eastern Africa","5"
"53905","Mediterranean","July 14, 2020","2020","Jul","1","","1","","","1","","Presumed drowning","Off the coast of Gergaresh, Libya","IOM Libya","32.869652400000, 13.109168200000","Central Mediterranean","","Uncategorized","4"
"53906","US-Mexico Border","July 14, 2020","2020","Jul","1","","1","","","1","","Unknown","Found dead on top of a train in the industrial park Alianza Derramadero, Coahuila, Mexico","Vanguardia, El Siglo de Torreón","25.239157500000, -101.174665500000","","https://archive.ph/Mzuws, https://archive.vn/xDJPi","Central America","1"
"54024","US-Mexico Border","July 13, 2020","2020","Jul","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.059639800000, -111.930200400000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54023","US-Mexico Border","July 13, 2020","2020","Jul","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.923968200000, -112.150236500000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54022","US-Mexico Border","July 13, 2020","2020","Jul","1","","1","","","1","","Probable hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.365672200000, -109.711483000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"53904","Mediterranean","July 12, 2020","2020","Jul","","4","4","1","","4","","Presumed drowning","Boat departed from Tunisia with the aim of reaching Italy, but drifted and capsized off the coast of northwestern Crete, Greece","Hellenic Coast Guard via IOM Greece","35.696445773266, 23.523868709375","Central Mediterranean","","Uncategorized","5"
"53903","US-Mexico Border","July 12, 2020","2020","Jul","1","","1","","1","","","Presumed exposure","20000 block of S. Jett Road, Bexar County, Texas, USA","News 4 San Antonio, La Opinión","29.222397900000, -98.574269100000","Central America to US","https://archive.vn/4ow2u, https://archive.ph/znEiW, https://archive.vn/APpEf","Northern America","3"
"54021","US-Mexico Border","July 12, 2020","2020","Jul","1","","1","","","1","","Unknown (pending)","1650 East Old Vail Road, Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.075773800000, -110.949701400000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"53900","Europe","July 12, 2020","2020","Jul","1","","1","","","1","","Unknown","Vrelo, Kumanovo, North Macedonia","IOM North Macedonia, Sloboden Pecat","42.132289500000, 21.725693600000","Western Balkans","https://archive.ph/9K6SK","Southern Europe","1"
"54048","Horn of Africa","July 11, 2020","2020","Jul","3","","3","","1","2","1","Dehydration","Djiboutian desert around Ras-bir, Obock region, Republic of Djibouti","IOM Djibouti medical team and local authorities","11.825138000000, 42.590275000000","Horn of Africa to Yemen","","Eastern Africa","5"
"54020","US-Mexico Border","July 11, 2020","2020","Jul","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.384683400000, -110.976153600000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54018","US-Mexico Border","July 10, 2020","2020","Jul","1","","1","","","1","","Probable hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.359264100000, -110.965465900000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"53902","Europe","July 10, 2020","2020","Jul","1","","1","2","","1","","Presumed drowning","At the port of Durrës, Albania","Shqiptarja, Exit","41.313922000000, 19.455799000000","","https://archive.vn/BsSI0, https://archive.ph/rNGk9","Southern Europe","1"
"54493","Mediterranean","July 10, 2020","2020","Jul","2","","2","","","","","Presumed drowning","Near Zarzis, Tunisia","Migrant Rescue Watch","33.504693947196, 11.132781358008","Central Mediterranean","https://archive.vn/3sQ0L","Uncategorized","1"
"54019","US-Mexico Border","July 10, 2020","2020","Jul","1","","1","","","1","","Hyperthermia","Kino Springs Drive and East Sagebrush Road , Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.361110000000, -110.813247000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"53899","US-Mexico Border","July 09, 2020","2020","Jul","1","","1","","","","","Illness (COVID-19)","Found near La Grulla, Starr County, Texas, USA - died in  a South Texas hospital","US Border Patrol, KRGV","26.269514800000, -98.647245600000","","https://archive.ph/lj0dH, https://archive.ph/qwtul","Northern America","5"
"53898","US-Mexico Border","July 09, 2020","2020","Jul","1","","1","","","1","","Shot","Calexico West port of entry, Imperial County, California, USA","US Border Patrol","32.665191916550, -115.496520996090","","https://archive.vn/f6Hae","Northern America","5"
"54017","US-Mexico Border","July 08, 2020","2020","Jul","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.422375500000, -113.433947300000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"53889","Mediterranean","July 08, 2020","2020","Jul","1","6","7","18","","","","Presumed drowning","Unspecified location off the coast of Libya","IOM Libya","31.337056416698, 17.492002875000","Central Mediterranean","https://archive.vn/l72SI","Uncategorized","4"
"54016","US-Mexico Border","July 08, 2020","2020","Jul","1","","1","","","1","","Unknown (pending)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.368400400000, -111.372466200000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"53901","US-Mexico Border","July 08, 2020","2020","Jul","1","","1","","1","","","Accident (fell from border wall)","Border wall between Anapra, Mexico and Sunland Park, New Mexico, USA (west of El Paso, Texas).","El Paso Matters","31.786209528293, -106.566342020530","","https://archive.ph/d6yYH, https://archive.vn/GU8rG","Northern America","1"
"53890","South America","July 07, 2020","2020","Jul","1","","1","","1","","","Presumed drowning","Rio Guaitara, Ipiales, Narino, Colombia","Radio Caracol, El Universo, El Norte","0.813133583769, -77.663943523936","","https://archive.ph/s57Uy, https://archive.ph/AYrE1, https://archive.vn/FaHNN","South America","3"
"54194","South America","July 07, 2020","2020","Jul","1","","1","","","1","","Shot","Padre Urtado Commune, Talagante Province, Santiago Metropolitan Region, Chile","La Izquierda Diario","-33.569536200000, -70.815671700000","","https://archive.ph/AmVOm","South America","1"
"54015","US-Mexico Border","July 07, 2020","2020","Jul","1","","1","","","1","","Probable hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.370924100000, -109.708069600000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"53891","US-Mexico Border","July 06, 2020","2020","Jul","1","","1","","","1","","Presumed exposure","Near U.S. Highway 59, east of Laredo, Webb County, Texas, USA","U.S. Customs and Border Protection","27.528235800000, -99.445670500000","","https://archive.ph/ipg1T","Northern America","5"
"53897","US-Mexico Border","July 05, 2020","2020","Jul","2","","2","1","","2","","Exposure","South of Wellton, Yuma County, Arizona, USA","US Border Patrol","32.672825600000, -114.146882100000","","https://archive.vn/VC8R9","Northern America","5"
"54600","US-Mexico Border","July 05, 2020","2020","Jul","1","","1","","","1","","Hypothermia","Cabeza Preita National Refuge, USA","Yuma County Medical Examiner","32.652753300000, -113.953646600000","","","Northern America","5"
"54599","Central America","July 05, 2020","2020","Jul","1","","1","","","1","","Hypothermia","Barry Goldwater Range, Yuma County, Arizona, USA","Yuma County Medical Examiner","32.264686000000, -114.018858000000","","","Northern America","5"
"54126","South America","July 04, 2020","2020","Jul","1","","1","","1","","","Pulmonary thromboembolism","Batuco Camp, Chacabuco Province, Santiago, Chile","El Desconcierto","-33.206343700000, -70.830056700000","","https://archive.ph/tRQWb","South America","1"
"53888","Sub-Saharan Africa","July 04, 2020","2020","Jul","2","","2","","","","","Shot","Near Mahama Refugee Camp, Rwanda, near border of Tanzania ","UNHCR, Chimp Report, Crooze FM","-2.311477576222, 30.849546116455","","https://archive.ph/VBQck, https://archive.vn/JwS1p, https://archive.vn/dL4lw","Southern Africa","4"
"53896","US-Mexico Border","July 04, 2020","2020","Jul","1","","1","","","1","","Cardiac arrest","Near Roma, Webb County, Texas, USA","US Border Patrol","26.408852300000, -99.015655400000","","https://archive.vn/DLpSJ","Northern America","5"
"54598","US-Mexico Border","July 03, 2020","2020","Jul","1","","1","","","1","","Drowning","Canal in Yuma County, Arizona, USA","Yuma County Medical Examiner","32.486976038526, -114.786357494970","","","Northern America","5"
"53883","Europe","July 02, 2020","2020","Jul","1","","1","","","1","","Shot","Kulen Vakuf, Bosnia near border with Croatia","Fena News","44.562805523157, 16.033354741612","Western Balkans","https://archive.ph/pgULu, https://archive.ph/gsEkR","Southern Europe","3"
"54105","Middle East","June 30, 2020","2020","Jun","2","","2","","1","1","","Drowning","Evros/Meriç River, Doyran Village, Adıyaman Province, Turkey","Gendarmerie General Command Turkey via IOM Turkey","41.194149204407, 26.319298046875","","","Western Asia","5"
"53914","Mediterranean","June 30, 2020","2020","Jun","1","","1","","","","","Unknown","Body spotted floating at sea by Sea-Watch's Seabird in position 34º00N 012º05E","Sea Watch","33.852169701407, 11.392822265625","Central Mediterranean","https://archive.vn/pckdC","Uncategorized","4"
"53880","Mediterranean","June 29, 2020","2020","Jun","1","3","4","35","1","","1","Drowning","Off the coast of Ayvalik, Turkey","Turkish Coast Guard ","39.283195240031, 26.528049855767","Eastern Mediterranean","https://archive.ph/0g7n7, https://archive.ph/brFro","Uncategorized","5"
"54597","US-Mexico Border","June 29, 2020","2020","Jun","1","","1","","","1","","Unknown (skeletal remains)","Cabeza Preita National Refuge, USA","Yuma County Medical Examiner","32.057499000000, -111.666072500000","","","Northern America","5"
"54014","US-Mexico Border","June 29, 2020","2020","Jun","1","","1","","","1","","Probable hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.771801900000, -111.924265100000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"53913","Mediterranean","June 29, 2020","2020","Jun","1","","1","","","","","Unknown (found on dinghy)","Body spotted floating at sea by Sea-Watch's Seabird in position 34º15N 012º25E at 1333z","Sea Watch","34.250000000000, 12.416666700000","Central Mediterranean","https://archive.ph/WOqLr","Uncategorized","4"
"53879","Middle East","June 28, 2020","2020","Jun","61","","61","1","","","2","Drowning","Van Lake near Altınsaç, Gevaş district, Turkey","Turkish Ministry of the Interior via IOM Turkey, Haber Turk, ANF News, ODA TV, The Record","38.518774822675, 42.942282999712","","https://archive.ph/t8oRR, https://archive.ph/3eMBZ, https://archive.ph/pP9d5, https://archive.ph/48DCa","Western Asia","4"
"53878","US-Mexico Border","June 27, 2020","2020","Jun","1","","1","","","1","","Presumed drowning","All-American Canal in Winterhaven, Imperial County, California, USA","Adelante Valle, Imperial County Coroner's Office","32.752877890099, -114.699259584300","Central America to US","https://archive.ph/UfNJv","Northern America","5"
"53876","Middle East","June 27, 2020","2020","Jun","1","","1","41","","","","Vehicle  accident","Near the Yumaklı neighborhood of Muradiye district, Van, Turkey","Daily Sabah, ILHA","39.003023137734, 43.753222342510","","https://bit.ly/387EjXA, https://bit.ly/2Vs0PoY","Western Asia","3"
"53875","Mediterranean","June 27, 2020","2020","Jun","","8","8","94","","8","","Drowning","Swept overboard at unspecified location off the coast of Khums, Libya","IOM Libya","32.939587014158, 14.554916722266","Central Mediterranean","","Uncategorized","4"
"54116","Central America","June 26, 2020","2020","Jun","1","","1","","","","1","Illness","Los Planes, Gualaca, Chiriqui Province, Panama","Efecto Cocuyo","8.640037300000, -82.213501000000","","https://archive.ph/vG1Zz","South America","1"
"53874","Sub-Saharan Africa","June 25, 2020","2020","Jun","4","","4","","","","2","Drowning"," Charifou, Mayotte","Mayotte Hebdo","-13.019270190719, 45.146960008984","","https://archive.vn/D2RVm, https://archive.vn/6DV54","Uncategorized","3"
"54231","Sub-Saharan Africa","June 25, 2020","2020","Jun","6","","6","60","","6","","Dehydration","In Tokouro, about 100 km north of the town of Ounianga, West Ennedi Province, Chad - shortly after deportation from Libya","UNHCR","20.094998673936, 20.515214356250","","","Central Africa","4"
"53877","US-Mexico Border","June 25, 2020","2020","Jun","3","","3","3","1","2","","Vehicle  accident","On West Paisano Drive, El Paso, Texas","El Paso Times, Fox","31.761312226892, -106.454122652150","","https://archive.vn/jdIYC, https://archive.vn/Ovzjq, https://archive.vn/UvJK2","Northern America","3"
"54745","US-Mexico Border","June 25, 2020","2020","Jun","1","","1","","","","","Presumed drowning","Rio Bravo in Coahuila, Mexico","Instituto Nacional de Migración (Grupos Beta)","28.328248857209, -100.323264853710","","","Central America","5"
"53873","US-Mexico Border","June 24, 2020","2020","Jun","1","","1","","","1","","Presumed drowning","Piedras Negras, Coahuila, Mexico","Zócalo","28.709493144125, -100.518472300090","","https://archive.ph/HuEuU","Central America","1"
"53872","US-Mexico Border","June 24, 2020","2020","Jun","2","","2","","","2","1","Drowning","Guerrero, Coahuila, Mexico ","Turquesa News, Bi Noticias","28.318075274362, -100.334777350980","","https://archive.ph/PNAvm, https://archive.vn/yMvMO","Central America","3"
"53871","Southeast Asia","June 24, 2020","2020","Jun","12","","12","99","1","","","Unknown","Andaman Sea","IOM Indonesia, UNCHR","5.987211861459, 97.223719660937","","https://archive.vn/D0HqL, https://archive.vn/8BtPj","Uncategorized","4"
"53895","US-Mexico Border","June 24, 2020","2020","Jun","1","","1","","","1","","Drowning","Rio Bravo, Reynosa, Tamaulipas, Mexico","Noticias Telemundo, Cubanos por el mundo, asere","26.083189019150, -98.262361194971","","https://archive.ph/Sspc3, https://archive.vn/NA0Ch, https://archive.vn/GqRk3","Central America","3"
"54673","US-Mexico Border","June 23, 2020","2020","Jun","1","","1","","1","","","Hyperthermia","l Centro Regional Medical Center, Imperial County, California, USA","Imperial County Coroner's Office","32.780236842208, -115.568638786250","","","Northern America","5"
"53922","Europe","June 23, 2020","2020","Jun","1","","1","","","1","","Heart failure (fire)","In a hospital in Tuzla, Bosnia and Herzegovina","IOM Bosnia and Herzegovina","44.536604100000, 18.692419600000","Western Balkans","https://archive.vn/jwhde","Southern Europe","2"
"53894","US-Mexico Border","June 23, 2020","2020","Jun","1","","1","","","1","","Unknown (decomposed remains)","Private ranch in Starr County, Texas, USA","US Border Patrol","26.621516700000, -98.748116700000","","https://archive.vn/thgPB","Northern America","5"
"54013","US-Mexico Border","June 23, 2020","2020","Jun","1","","1","","","1","","Unknown (mummified and skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.060008100000, -112.155696200000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54012","US-Mexico Border","June 22, 2020","2020","Jun","1","","1","","","1","","Probable hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.771801900000, -111.924265100000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54333","South America","June 22, 2020","2020","Jun","1","","1","","","1","","Shot","""Trocha La Carbonera"", Boconó, Cucuta, Colombia","La Opinion","7.894385200000, -72.463537900000","","https://archive.ph/3v63g","South America","1"
"53920","US-Mexico Border","June 22, 2020","2020","Jun","1","","1","","","1","","Presumed exposure","Close to Laredo, Texas, USA","NTR Zacatecas","27.503561300000, -99.507551900000","","https://archive.ph/lfGn4","Northern America","1"
"53865","Mediterranean","June 21, 2020","2020","Jun","3","3","6","4","","3","","Drowning","Off the coast of Oran, Algeria","Djazairess","35.730516937037, -0.640425064063","Western Mediterranean","https://archive.ph/spO0g","Uncategorized","3"
"53868","US-Mexico Border","June 21, 2020","2020","Jun","1","","1","","1","","","Presumed dehydration","Close to Las Palomas Ranch, Maverick County, Texas, USA","Super Channel 12","28.741047300000, -100.349789500000","","https://archive.ph/7eFHn","Northern America","1"
"54760","US-Mexico Border","June 20, 2020","2020","Jun","1","","1","","","","","Unknown (skeletal remains)","Dulzura, San Diego County, California, USA","San Diego County Medical Examiner","32.644224700000, -116.781409300000","","","Northern America","5"
"53864","Mediterranean","June 20, 2020","2020","Jun","5","","5","19","","","","Drowning","Off the coast of Janzour, Tripoli, Libya","IOM Libya","32.848618879341, 13.010127972461","Central Mediterranean","","Uncategorized","4"
"53912","Mediterranean","June 19, 2020","2020","Jun","1","","1","","","","","Presumed drowning","Body spotted floating at sea by NGO vessel Mare Jonio in position 34º25N 012º22E","Mediterranea","34.416666700000, 12.366666700000","Central Mediterranean","https://archive.ph/bs28h","Uncategorized","4"
"53866","Sub-Saharan Africa","June 19, 2020","2020","Jun","3","","3","2","","","","Drowning","Senegal River on the border with Mauritania","RFM, Pressafrik, xalimasn","15.612636100000, -13.230087400000","","https://bit.ly/2BumfL3, https://bit.ly/2Bz61A3","Western Africa","3"
"54533","US-Mexico Border","June 19, 2020","2020","Jun","","1","1","","","1","","Presumed drowning","Rio Bravo, Ojinaga, Chihuahua","Cibercuba","29.555556342053, -104.394600805190","","https://archive.ph/h8ekO","Central America","1"
"53885","Europe","June 19, 2020","2020","Jun","","1","1","2","","","","Presumed drowning","Drina River near Pavlović Bridge, Bosnia and Herzegovina","ATV","44.775011417116, 19.339542312164","Western Balkans","https://archive.ph/ROEaL","Southern Europe","1"
"53863","Europe","June 19, 2020","2020","Jun","1","","1","6","","","","Vehicle  accident","E90 highway, close to Kavala, Greece","Associated Press, Xinhua","40.958352069032, 24.469170931641","","https://archive.ph/xZBA0, https://archive.vn/tsacV","Southern Europe","3"
"54011","US-Mexico Border","June 18, 2020","2020","Jun","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.705376700000, -112.198955200000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"53983","South America","June 18, 2020","2020","Jun","","1","1","","","1","","Unknown","Unspecified location in Cúcuta, Colombia","La Opinión Cúcuta","7.889097100000, -72.496689600000","","https://bit.ly/3jVK8g9","South America","1"
"53859","US-Mexico Border","June 17, 2020","2020","Jun","1","","1","","","1","","Presumed drowning","Río Bravo, Nuevo Laredo, Tamaulipas, Mexico","Notiviza Tamaulipas","27.453218779443, -99.494445495414","","https://archive.ph/tFXLO","Central America","1"
"54010","US-Mexico Border","June 16, 2020","2020","Jun","1","","1","","","1","","Complications of blunt force injuries","Arizona State Route 80 Eastbound Milepost 399 , Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.443001700000, -109.827425500000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54009","US-Mexico Border","June 16, 2020","2020","Jun","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.682150100000, -112.052521100000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54087","Central America","June 16, 2020","2020","Jun","1","","1","","","1","1","Accident (fell from stairs)","Unspecified location in Mexico, en route to the US","Radio ABC Sstereo","23.634501000000, -102.552784000000","Central America to US","https://archive.ph/ICpeE","Central America","1"
"53862","Middle East","June 16, 2020","2020","Jun","1","","1","","","","","Shot","Dibba Al-Fujairah region, Oman-UAE border","Embassy of the Sultanate of Oman, Anadolu Agency, Erem News","25.591117100000, 56.259403300000","","https://archive.ph/pzmD1, http://archive.ph/kU3as, https://archive.ph/GrrX0","Western Asia","5"
